ERROR 2015-05-22 13:41:18,196 19734ms HomeController         ificationFromExcel - Column 'SpecificationDetails' does not allow DBNull.Value.
ERROR 2015-05-22 13:41:18,196 19734ms HomeController         ificationFromExcel - -----------------END OF ERROR LOG-----------------
ERROR 2015-05-22 13:44:21,975 128025ms HomeController         ificationFromExcel - -------------------ERROR LOG -----------------
ERROR 2015-05-22 13:44:21,990 128041ms HomeController         ificationFromExcel - The given value of type String from the data source cannot be converted to type nvarchar of the specified target column.System.InvalidOperationException: String or binary data would be truncated.
   at System.Data.SqlClient.SqlBulkCopy.ConvertValue(Object value, _SqlMetaData metadata, Boolean isNull, Boolean& isSqlType, Boolean& coercedToDataFeed)
ERROR 2015-05-22 13:44:21,990 128041ms HomeController         ificationFromExcel - -----------------END OF ERROR LOG-----------------
ERROR 2015-05-22 13:44:54,213  6606ms HomeController         ificationFromExcel - -------------------ERROR LOG -----------------
ERROR 2015-05-22 13:44:54,229  6622ms HomeController         ificationFromExcel - The given value of type String from the data source cannot be converted to type nvarchar of the specified target column.System.InvalidOperationException: String or binary data would be truncated.
   at System.Data.SqlClient.SqlBulkCopy.ConvertValue(Object value, _SqlMetaData metadata, Boolean isNull, Boolean& isSqlType, Boolean& coercedToDataFeed)
ERROR 2015-05-22 13:44:54,229  6622ms HomeController         ificationFromExcel - -----------------END OF ERROR LOG-----------------
ERROR 2015-05-22 13:47:27,070  5893ms HomeController         ificationFromExcel - -------------------ERROR LOG -----------------
ERROR 2015-05-22 13:47:27,086  5909ms HomeController         ificationFromExcel - The given value of type String from the data source cannot be converted to type nvarchar of the specified target column.System.InvalidOperationException: String or binary data would be truncated.
   at System.Data.SqlClient.SqlBulkCopy.ConvertValue(Object value, _SqlMetaData metadata, Boolean isNull, Boolean& isSqlType, Boolean& coercedToDataFeed)
ERROR 2015-05-22 13:47:27,086  5909ms HomeController         ificationFromExcel - -----------------END OF ERROR LOG-----------------
ERROR 2015-05-22 13:52:50,963 286166ms HomeController         ificationFromExcel - -------------------ERROR LOG -----------------
ERROR 2015-05-22 13:52:50,979 286181ms HomeController         ificationFromExcel - The given value of type String from the data source cannot be converted to type nvarchar of the specified target column.System.InvalidOperationException: String or binary data would be truncated.
